LocationID,BRDYEAR,Watershed,first_breeding,rain_to_date,MaxD,NumberofEggMasses,yearly_rain,AirTemp,WaterTemp,water_flow,water_regime,MaxD_yearly,MaxD_proportion,complete_case
LS08,2016,Laguna Salada,117,17.47,1.7,2,29.78,20.7,13,lentic,perennial,1.7,1,TRUE
MC01,2016,Milagra Creek,103,12.08,0.54,1,29.78,19.3,13,lentic,seasonal,0.6576000000000001,0.8211678832116788,TRUE
RC07,2016,Redwood Creek,91,8.790000000000001,1.12,1,29.78,9.2,7,lentic,perennial,1.2408771929824562,0.9025873038314718,TRUE
RC10,2016,Redwood Creek,119,17.47,2,1,29.78,17.2,12,lentic,seasonal,2,1,TRUE
RC11,2016,Redwood Creek,119,17.47,1.5,1,29.78,15,13,lentic,seasonal,1.5,1,TRUE
RC15,2016,Redwood Creek,175,28.26,0.4,1,29.78,20.6,13,lentic,seasonal,0.4,1,TRUE
RL02,2016,Rodeo Lagoon,119,17.47,0.91,1,29.78,17.4,12.3,lentic,perennial,0.91,1,TRUE
KC01,2017,Kanoff Creek,51,6.84,0.66,1,56.51,16.7,15,lentic,seasonal,0.7291176470588235,0.9052037111738604,TRUE
KC02,2017,Kanoff Creek,108,26.37,0.73,1,56.51,13.9,9,both,seasonal,0.73,1,TRUE
KC03,2017,Kanoff Creek,108,26.37,0.23,1,56.51,13.8,9,lentic,seasonal,0.23333333333333336,0.9857142857142858,TRUE
LS05,2017,Laguna Salada,137,41.51,1.3,1,56.51,19.2,16,lentic,perennial,1.3,1,TRUE
LS06,2017,Laguna Salada,116,32.35,1.4,1,56.51,14.8,11,lentic,seasonal,1.384,1.0115606936416186,TRUE
LS07,2017,Laguna Salada,116,32.35,1.62,1,56.51,11.8,10.5,lentic,seasonal,1.62,1,TRUE
LS08,2017,Laguna Salada,116,32.35,1.74,1,56.51,13.4,10,lentic,perennial,1.74,1,TRUE
MC01,2017,Milagra Creek,81,15.31,0.94,1,56.51,16.6,10,lentic,seasonal,1.0771428571428572,0.8726790450928381,TRUE
RC07,2017,Redwood Creek,81,15.31,1.24,1,56.51,20.8,7.5,lentic,perennial,0.46,2.6956521739130435,TRUE
RC11,2017,Redwood Creek,97,18.91,1.92,1,56.51,9,9,lentic,seasonal,1.4175,1.3544973544973544,TRUE
RC13,2017,Redwood Creek,137,41.51,0.9,1,56.51,18.3,13,lentic,perennial,0.912,0.986842105263158,TRUE
RC15,2017,Redwood Creek,137,41.51,0.55,1,56.51,17,13,lentic,seasonal,0.5437500000000001,1.011494252873563,TRUE
RC20,2017,Redwood Creek,137,41.51,0.31,1,56.51,16.2,13,both,perennial,0.31,1,TRUE
TV02,2017,Tennessee Valley,108,26.37,1.43,1,56.51,10.6,9.9,lentic,perennial,1.43,1,TRUE
KC01,2018,Kanoff Creek,103,9.7,0.77,1,24.45,17.9,14,lentic,seasonal,0.7033720930232559,1.094726401058026,TRUE
LS07,2018,Laguna Salada,128,12.33,1.28,1,24.45,26.3,12,lentic,seasonal,1.28,1,TRUE
LS08,2018,Laguna Salada,108,9.8,1.3,1,24.45,18.1,13,lentic,perennial,1.4025,0.926916221033868,TRUE
MC01,2018,Milagra Creek,108,9.8,0.37,1,24.45,19.2,16,lentic,seasonal,0.37225,0.9939556749496308,TRUE
RC07,2018,Redwood Creek,103,9.7,0.84,1,24.45,21.8,14.3,lentic,perennial,0.995,0.8442211055276382,TRUE
RC14,2018,Redwood Creek,179,19.92,1.25,1,24.45,27,12,lentic,perennial,1.25,1,TRUE
RC15,2018,Redwood Creek,179,19.92,0.47,1,24.45,27.5,13,lentic,seasonal,0.47,1,TRUE
RC20,2018,Redwood Creek,179,19.92,0.27,1,24.45,20.9,15,both,perennial,0.27,1,TRUE
TV02,2018,Tennessee Valley,107,9.8,1.2,1,24.45,17.8,14.2,lentic,perennial,1.1968085106382975,1.0026666666666668,TRUE
KC02,2019,Kanoff Creek,121,20.03,0.6,1,48.7,17,8.8,both,seasonal,0.6,1,TRUE
TV02,2019,Tennessee Valley,120,19.95,1.24,1,48.7,14.4,11,lentic,perennial,1.2596666666666667,0.984387404075152,TRUE
RC07,2020,Redwood Creek,91,14.45,1.41,1,22.94,10,7,lentic,perennial,1.153333333333333,1.222543352601156,TRUE
RC10,2020,Redwood Creek,147,17.67,1.3,1,22.94,19.7,7.8,lentic,seasonal,1.3,1,TRUE
RC11,2020,Redwood Creek,121,17.67,2,1,22.94,16.2,12.8,lentic,seasonal,1.768,1.1312217194570136,TRUE
RC20,2020,Redwood Creek,121,17.67,0.34,1,22.94,13.6,12.1,both,perennial,1.0184615384615383,0.3338368580060423,TRUE
KC01,2021,Kanoff Creek,96,6.24,0.45,1,13.48,14.5,11,lentic,seasonal,0.4475,1.005586592178771,TRUE
LS08,2021,Laguna Salada,131,9.88,1.2,1,13.48,13.3,10,lentic,perennial,1.2,1,TRUE
MC01,2021,Milagra Creek,131,9.88,0.06,1,13.48,13.5,15,lentic,seasonal,0.07647058823529412,0.7846153846153845,TRUE
RC07,2021,Redwood Creek,146,10.84,1.5,1,13.48,19.5,9.4,lentic,perennial,1.6157894736842104,0.9283387622149838,TRUE
RC10,2021,Redwood Creek,132,9.88,2,1,13.48,19,9,lentic,seasonal,2,1,TRUE
RC11,2021,Redwood Creek,132,9.88,1.05,1,13.48,21,14,lentic,seasonal,1.425,0.7368421052631579,TRUE
RC20,2021,Redwood Creek,132,9.88,0.6,1,13.48,19,15,both,perennial,1.510909090909091,0.3971119133574007,TRUE
WG01,2021,Wilkins Gulch,128,9.88,0.35,1,13.48,14,13,lentic,seasonal,0.3722222222222222,0.9402985074626866,TRUE
KC01,2022,Kanoff Creek,38,16.92,0.35,1,35.68,18.6,9,lentic,seasonal,0.46071428571428574,0.7596899224806201,TRUE
LS06,2022,Laguna Salada,91,30.25,1.2,3,35.68,12,11.5,lentic,seasonal,1.15,1.0434782608695652,TRUE
LS08,2022,Laguna Salada,103,31.78,1,1,35.68,20,13.5,lentic,perennial,1.143333333333333,0.8746355685131195,TRUE
MC01,2022,Milagra Creek,103,31.78,1.5,1,35.68,17,14,lentic,seasonal,1.5,1,TRUE
RC07,2022,Redwood Creek,101,31.78,1.5,1,35.68,15.6,8,lentic,perennial,1.1838461538461538,1.267056530214425,TRUE
RC11,2022,Redwood Creek,117,31.78,1.3,1,35.68,15.7,9.8,lentic,seasonal,1.275,1.0196078431372548,TRUE
RC13,2022,Redwood Creek,117,31.78,1,1,35.68,15.8,8,lentic,perennial,1,1,TRUE
RC15,2022,Redwood Creek,117,31.78,0.3,1,35.68,18.2,10.6,lentic,seasonal,0.29,1.0344827586206895,TRUE
RC20,2022,Redwood Creek,117,31.78,0.9,1,35.68,17.8,10.3,both,perennial,0.8060869565217391,1.116504854368932,TRUE
RC25,2022,Redwood Creek,117,31.78,0.25,1,35.68,17.2,14.8,lentic,seasonal,0.24166666666666667,1.0344827586206895,TRUE
TV02,2022,Tennessee Valley,54,18.55,1.23,1,35.68,21,10,lentic,perennial,1.263095238095238,0.973798303487276,TRUE
KC01,2023,Kanoff Creek,94,18.83,0.5,1,52.63,13.1,14,lentic,seasonal,0.490625,1.019108280254777,TRUE
LS06,2023,Laguna Salada,114,31.63,1.4,2,52.63,15.5,9.9,lentic,seasonal,1.4,1,TRUE
LS07,2023,Laguna Salada,114,31.63,1.6,1,52.63,14.7,10.1,lentic,seasonal,1.5818181818181818,1.011494252873563,TRUE
LS08,2023,Laguna Salada,114,31.63,1.8,1,52.63,16.6,10.3,lentic,perennial,1.82,0.989010989010989,TRUE
RC07,2023,Redwood Creek,115,31.63,1.35,1,52.63,16,5.6,lentic,perennial,1.3795454545454546,0.9785831960461284,TRUE
RC10,2023,Redwood Creek,129,33.33,1.5,1,52.63,14.1,7,lentic,seasonal,1.5,1,TRUE
RC11,2023,Redwood Creek,115,31.63,1.5,1,52.63,18,9.6,lentic,seasonal,1.25,1.2,TRUE
RC15,2023,Redwood Creek,129,33.33,0.2,1,52.63,13,7,lentic,seasonal,0.3333333333333333,0.6000000000000001,TRUE
RC20,2023,Redwood Creek,153,37.64,0.5,2,52.63,16.8,14.2,both,perennial,0.5047619047619047,0.9905660377358492,TRUE
RC24,2023,Redwood Creek,129,33.33,0.3,1,52.63,14.1,11.8,lentic,seasonal,0.3,1,TRUE
RC25,2023,Redwood Creek,115,31.63,0.3,2,52.63,20.5,8.9,lentic,seasonal,0.3,1,TRUE
RL02,2023,Rodeo Lagoon,86,7.04,0.79,1,52.63,12.2,9.3,lentic,perennial,1.47672131147541,0.5349689165186501,TRUE
TV02,2023,Tennessee Valley,81,6.15,1.06,1,52.63,10,5.4,lentic,perennial,1.7825,0.5946704067321178,TRUE
WG01,2023,Wilkins Gulch,88,10.75,0.37,1,52.63,13,11,lentic,seasonal,0.4165625,0.8882220555138785,TRUE
