"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00043714","HALF MOON BAY, CA US","37.4725","-122.4433","8.2","1940-05","1","6","0",",6","3",",6","2",",6",,,,,"0",",6","0",",6","0",",6","0",",6","0",",6","41",",6,02,",,,,,"0.27",",,6,04,","69",",6,31,+","3141","6","284",",6","0.41",",,,6",,,"55.8",",6","62.9",",,,6","48.8",",,,6"
"USC00043714","HALF MOON BAY, CA US","37.4725","-122.4433","8.2","1940-06","1","6","0",",6","0",",6","0",",6",,,,,"0",",6","0",",6","0",",6","1",",6","0",",6","43",",6,07,",,,,,"0.00",",,6,30,+","70",",6,19,","3357","6","216",",6","0.00",",,,6",,,"57.8",",6","64.6",",,,6","51.0",",,,6"
"USC00043714","HALF MOON BAY, CA US","37.4725","-122.4433","8.2","1940-07","1","6","0",",6","0",",6","0",",6",,,,,"0",",6","0",",6","0",",6","2",",6","0",",6","46",",6,10,+",,,,,"0.00",",,6,31,+","72",",6,05,","170","6","170",",6","0.00",",,,6",,,"59.5",",6","65.8",",,,6","53.2",",,,6"
"USC00043714","HALF MOON BAY, CA US","37.4725","-122.4433","8.2","1940-08","1","6","0",",6","0",",6","0",",6",,,,,"0",",6","0",",6","0",",6","4",",6","0",",6","47",",6,10,",,,,,"0.00",",,6,31,+","73",",6,20,","338","6","168",",6","0.00",",,,6",,,"59.6",",6","65.6",",,,6","53.6",",,,6"
"USC00043714","HALF MOON BAY, CA US","37.4725","-122.4433","8.2","1940-09","8","6","7",",6","3",",6","1",",6",,,,,"0",",6","0",",6","0",",6","16",",6","0",",6","46",",6,30,",,,,,"0.22",",,6,06,","80",",6,29,","435","6","97",",6","0.37",",,,6",,,"62.0",",6","69.8",",,,6","54.1",",,,6"
"USC00043714","HALF MOON BAY, CA US","37.4725","-122.4433","8.2","1940-10","8","6","0",",6","3",",6","3",",6",,,,,"0",",6","0",",6","0",",6","5",",6","0",",6","41",",6,15,+",,,,,"0.54",",,6,24,","79",",6,18,","677","6","242",",6","1.11",",,,6",,,"57.2",",6","66.1",",,,6","48.3",",,,6"
"USC00043714","HALF MOON BAY, CA US","37.4725","-122.4433","8.2","1940-11","9","6","1",",6","6",",6","3",",6",,,,,"0",",6","0",",6","0",",6","4",",6","0",",6","38",",6,21,+",,,,,"0.13",",,6,06,","75",",6,15,","981","6","304",",6","0.51",",,,6",,,"54.9",",6","63.8",",,,6","46.0",",,,6"
"USC00043714","HALF MOON BAY, CA US","37.4725","-122.4433","8.2","1940-12","9","6","0","1,6","11",",6","10",",6",,,,,"0","1,6","1","1,6","0",",6","3",",6","0",",6","32","1,6,13,",,,,,"1.33",",,6,21,","72",",6,04,","1306","6","325",",6","6.20",",,,6",,,"54.1","1,6","61.5",",,,6","46.7","1,,,6"
"USC00043714","HALF MOON BAY, CA US","37.4725","-122.4433","8.2","1941-01","0","6","0",",6","17",",6","15",",6",,,,,"0",",6","0",",6","0",",6","0",",6","0",",6","40",",6,30,+",,,,,"1.88",",,6,13,","66",",6,28,+","1687","6","381",",6","8.59",",,,6",,,"52.7",",6","59.6",",,,6","45.8",",,,6"
"USC00043714","HALF MOON BAY, CA US","37.4725","-122.4433","8.2","1941-02","0","6","0",",6","18",",6","15",",6",,,,,"0",",6","0",",6","0",",6","0",",6","0",",6","40",",6,16,",,,,,"1.14",",,6,09,","64",",6,05,","1989","6","302",",6","7.06",",,,6",,,"54.2",",6","60.0",",,,6","48.5",",,,6"
"USC00043714","HALF MOON BAY, CA US","37.4725","-122.4433","8.2","1941-03","0","6","0",",6","9",",6","8",",6",,,,,"0",",6","0",",6","0",",6","6",",6","0",",6","41",",6,25,+",,,,,"1.38",",,6,31,","75",",6,10,","2260","6","271",",6","5.00",",,,6",,,"56.2",",6","64.2",",,,6","48.3",",,,6"
"USC00043714","HALF MOON BAY, CA US","37.4725","-122.4433","8.2","1941-04","0","6","0",",6","11",",6","8",",6",,,,,"0",",6","0",",6","0",",6","0",",6","0",",6","39",",6,18,+",,,,,"2.36",",,6,04,","67",",6,20,","2591","6","330",",6","4.87",",,,6",,,"54.0",",6","60.7",",,,6","47.3",",,,6"
"USC00043714","HALF MOON BAY, CA US","37.4725","-122.4433","8.2","1941-05","0","6","0","3,6","8",",6","3",",6",,,,,"0",",6","0",",6","0","3,6","2","3,6","0","3,6","45",",6,19,+",,,,,"0.46",",,6,13,","80","3,6,21,","2757","6","166","3,6","1.07",",,,6",,,"59.2","3,6","66.1","3,,,6","52.3",",,,6"
"USC00043714","HALF MOON BAY, CA US","37.4725","-122.4433","8.2","1941-06","0","6","0",",6","1",",6","1",",6",,,,,"0",",6","0",",6","0",",6","4",",6","0",",6","41",",6,05,",,,,,"0.11",",,6,26,","75",",6,10,","2937","6","180",",6","0.11",",,,6",,,"59.0",",6","66.5",",,,6","51.4",",,,6"
"USC00043714","HALF MOON BAY, CA US","37.4725","-122.4433","8.2","1941-07","0","6","0",",6","1",",6","0",",6",,,,,"0",",6","0",",6","0",",6","0",",6","0",",6","51",",6,17,+",,,,,"0.03",",,6,26,","69",",6,25,","169","6","169",",6","0.03",",,,6",,,"59.6",",6","65.2",",,,6","53.9",",,,6"
"USC00043714","HALF MOON BAY, CA US","37.4725","-122.4433","8.2","1941-08",,,,,"0",",6","0",",6",,,,,,,,,,,,,,,,,,,,,"0.00",",,6,31,+",,,,,,,"0.00",",,,6",,,,,,,,
"USC00043714","HALF MOON BAY, CA US","37.4725","-122.4433","8.2","1941-09",,,"1",",6","0",",6","0",",6",,,,,"0",",6","0",",6","0",",6","10",",6","0",",6","41",",6,23,",,,,,"0.00",",,6,30,+","81",",6,22,",,,"168",",6","0.00",",,,6",,,"59.5",",6","69.0",",,,6","50.0",",,,6"
"USC00043714","HALF MOON BAY, CA US","37.4725","-122.4433","8.2","1941-10",,,"2",",6","3",",6","3",",6",,,,,"0",",6","0",",6","0",",6","5",",6","0",",6","37",",6,09,+",,,,,"0.48",",,6,26,","87",",6,03,",,,"310",",6","1.09",",,,6",,,"55.0",",6","65.2",",,,6","44.9",",,,6"
"USC00043714","HALF MOON BAY, CA US","37.4725","-122.4433","8.2","1941-11",,,"0",",6","7",",6","6",",6",,,,,"0",",6","0",",6","0",",6","5",",6","0",",6","34",",6,21,",,,,,"0.81",",,6,02,","78",",6,05,",,,"245",",6","2.00",",,,6",,,"56.8",",6","65.0",",,,6","48.6",",,,6"
"USC00043714","HALF MOON BAY, CA US","37.4725","-122.4433","8.2","1941-12",,,"0",",6","20",",6","13",",6",,,,,"0",",6","0",",6","0",",6","0",",6","0",",6","38",",6,26,",,,,,"1.29",",,6,28,","66",",6,02,",,,"404",",6","8.93",",,,6",,,"52.0",",6","58.1",",,,6","45.8",",,,6"
"USC00043714","HALF MOON BAY, CA US","37.4725","-122.4433","8.2","1942-01","0","6","0",",6","13",",6","8",",6",,,,,"0",",6","0",",6","0",",6","0",",6","0",",6","34",",6,01,",,,,,"1.87",",,6,24,","66",",6,20,",,,"412",",6","6.36",",,,6",,,"51.7",",6","58.2",",,,6","45.2",",,,6"
"USC00043714","HALF MOON BAY, CA US","37.4725","-122.4433","8.2","1942-02","0","6","0",",6","7",",6","6",",6",,,"0",",6","0",",6","0",",6","0",",6","0",",6","0",",6","35",",6,15,",,,"0.0",",,6,28,+","1.60",",,6,04,","66",",6,11,+",,,"398",",6","4.27",",,,6","0.0",",,,6","50.8",",6","58.4",",,,6","43.2",",,,6"
"USC00043714","HALF MOON BAY, CA US","37.4725","-122.4433","8.2","1942-03","0","6","0",",6","5",",6","4",",6",,,"0",",6","0",",6","0",",6","0",",6","3",",6","0",",6","33",",6,28,",,,"0.0",",,6,31,+","1.44",",,6,14,","72",",6,29,",,,"437",",6","2.61",",,,6","0.0",",,,6","50.9",",6","60.8",",,,6","40.9",",,,6"
"USC00043714","HALF MOON BAY, CA US","37.4725","-122.4433","8.2","1942-04","0","6","0",",6","12",",6","10",",6",,,,,"0",",6","0",",6","0",",6","0",",6","0",",6","37",",6,26,+",,,,,"0.73",",,6,13,","69",",6,19,",,,"353",",6","4.15",",,,6",,,"53.2",",6","61.0",",,,6","45.4",",,,6"
"USC00043714","HALF MOON BAY, CA US","37.4725","-122.4433","8.2","1942-05","0","6","0","2,6","5",",6","2",",6",,,,,"0",",6","0",",6","0","2,6","2","2,6","0","2,6","38",",6,05,+",,,,,"0.65",",,6,25,","77","2,6,05,",,,"286","2,6","1.32",",,,6",,,"55.1","2,6","62.8","2,,,6","47.4",",,,6"
"USC00043714","HALF MOON BAY, CA US","37.4725","-122.4433","8.2","1942-06","0","6","0","1,6","1",",6","1",",6",,,,,"0",",6","0",",6","0","1,6","2","1,6","0","1,6","41",",6,26,+",,,,,"0.12",",,6,25,","73","1,6,29,",,,"249","1,6","0.12",",,,6",,,"56.4","1,6","65.1","1,,,6","47.6",",,,6"
"USC00043714","HALF MOON BAY, CA US","37.4725","-122.4433","8.2","1942-07","0","6","0",",6","0",",6","0",",6",,,,,"0",",6","0",",6","0",",6","4",",6","0",",6","45",",6,12,",,,,,"0.00",",,6,31,+","73",",6,13,","160","6","160",",6","0.00",",,,6",,,"59.8",",6","66.1",",,,6","53.6",",,,6"
"USC00043714","HALF MOON BAY, CA US","37.4725","-122.4433","8.2","1942-08","0","6","0",",6","0",",6","0",",6",,,,,"0",",6","0",",6","0",",6","0",",6","0",",6","48",",6,30,+",,,,,"0.00",",,6,31,+","69",",6,15,","356","6","196",",6","0.00",",,,6",,,"58.7",",6","64.3",",,,6","53.0",",,,6"
"USC00043714","HALF MOON BAY, CA US","37.4725","-122.4433","8.2","1942-09","0","6","0",",6","1",",6","1",",6",,,,,"0",",6","0",",6","0",",6","2",",6","0",",6","44",",6,14,",,,,,"0.16",",,6,08,","75",",6,15,","556","6","200",",6","0.16",",,,6",,,"58.4",",6","65.0",",,,6","51.7",",,,6"
"USC00043714","HALF MOON BAY, CA US","37.4725","-122.4433","8.2","1942-10","0","6","0",",6","4",",6","3",",6",,,,,"0",",6","0",",6","0",",6","1",",6","0",",6","39",",6,29,",,,,,"0.56",",,6,28,","79",",6,16,","864","6","309",",6","1.24",",,,6",,,"55.0",",6","63.9",",,,6","46.2",",,,6"
"USC00043714","HALF MOON BAY, CA US","37.4725","-122.4433","8.2","1942-11","2","6","2",",6","8",",6","7",",6",,,,,"0",",6","0",",6","0",",6","3",",6","0",",6","34",",6,01,",,,,,"2.38",",,6,17,","75",",6,11,","1234","6","370",",6","4.50",",,,6",,,"52.7",",6","60.7",",,,6","44.8",",,,6"
"USC00043714","HALF MOON BAY, CA US","37.4725","-122.4433","8.2","1942-12","2","6","0",",6","7",",6","6",",6",,,,,"0",",6","0",",6","0",",6","0",",6","0",",6","35",",6,05,",,,,,"1.10",",,6,23,","69",",6,14,","1690","6","456",",6","3.09",",,,6",,,"50.3",",6","57.9",",,,6","42.7",",,,6"
"USC00043714","HALF MOON BAY, CA US","37.4725","-122.4433","8.2","1943-01","0","6","0",",6","11",",6","7",",6",,,,,"0",",6","2",",6","0",",6","0",",6","0",",6","30",",6,19,",,,,,"3.51",",,6,21,","66",",6,14,","2159","6","469",",6","7.93",",,,6",,,"49.9",",6","58.2",",,,6","41.5",",,,6"
"USC00043714","HALF MOON BAY, CA US","37.4725","-122.4433","8.2","1943-02","1","6","1",",6","11",",6","9",",6",,,,,"0",",6","0",",6","0",",6","3",",6","0",",6","35",",6,09,",,,,,"1.16",",,6,26,","74",",6,14,","2496","6","337",",6","2.97",",,,6",,,"53.0",",6","60.8",",,,6","45.2",",,,6"
"USC00043714","HALF MOON BAY, CA US","37.4725","-122.4433","8.2","1943-03","1","6","0",",6","10",",6","9",",6",,,,,"0",",6","0",",6","0",",6","0",",6","0",",6","38",",6,20,",,,,,"0.83",",,6,04,","65",",6,09,","2861","6","365",",6","3.89",",,,6",,,"53.2",",6","60.0",",,,6","46.5",",,,6"
"USC00043714","HALF MOON BAY, CA US","37.4725","-122.4433","8.2","1943-04","1","6","0",",6","5",",6","4",",6",,,,,"0",",6","0",",6","0",",6","0",",6","0",",6","38",",6,26,+",,,,,"0.69",",,6,28,","69",",6,29,","3204","6","342",",6","1.78",",,,6",,,"53.6",",6","61.1",",,,6","46.0",",,,6"
"USC00043714","HALF MOON BAY, CA US","37.4725","-122.4433","8.2","1943-05","1","6","0","1,6","1",",6","0",",6",,,,,"0",",6","0",",6","0","1,6","6","1,6","0","1,6","37",",6,16,+",,,,,"0.09",",,6,31,","80","1,6,09,","3517","6","313","1,6","0.09",",,,6",,,"54.5","1,6","64.1","1,,,6","45.0",",,,6"
"USC00043714","HALF MOON BAY, CA US","37.4725","-122.4433","8.2","1943-06","1","6","0",",6","1",",6","1",",6",,,,,"0",",6","0",",6","0",",6","3",",6","0",",6","41",",6,04,+",,,,,"0.34",",,6,01,","81",",6,16,","3793","6","276",",6","0.34",",,,6",,,"55.8",",6","63.5",",,,6","48.1",",,,6"
"USC00043714","HALF MOON BAY, CA US","37.4725","-122.4433","8.2","1943-07","1","6","0",",6","0",",6","0",",6",,,,,"0",",6","0",",6","0",",6","1",",6","0",",6","43",",6,27,",,,,,"0.00",",,6,31,+","70",",6,27,","220","6","220",",6","0.00",",,,6",,,"57.9",",6","64.9",",,,6","50.9",",,,6"
"USC00043714","HALF MOON BAY, CA US","37.4725","-122.4433","8.2","1943-08","1","6","0","2,6","0",",6","0",",6",,,,,"0",",6","0",",6","0","2,6","0","2,6","0","2,6","45",",6,02,",,,,,"0.00",",,6,31,+","68","2,6,21,","430","6","210","2,6","0.00",",,,6",,,"57.8","2,6","63.2","2,,,6","52.5",",,,6"
"USC00043714","HALF MOON BAY, CA US","37.4725","-122.4433","8.2","1943-09","5","6","4",",6","0",",6","0",",6",,,,,"0",",6","0",",6","0",",6","7",",6","0",",6","45",",6,19,",,,,,"0.00",",,6,30,+","83",",6,21,+","580","6","151",",6","0.00",",,,6",,,"60.1",",6","67.4",",,,6","52.9",",,,6"
"USC00043714","HALF MOON BAY, CA US","37.4725","-122.4433","8.2","1943-10","5","6","0",",6","6",",6","3",",6",,,,,"0",",6","0",",6","0",",6","3",",6","0",",6","39",",6,31,",,,,,"0.64",",,6,21,","80",",6,13,","839","6","259",",6","1.15",",,,6",,,"56.6",",6","65.2",",,,6","48.1",",,,6"
"USC00043714","HALF MOON BAY, CA US","37.4725","-122.4433","8.2","1943-11","5","6","0",",6","4",",6","3",",6",,,,,"0",",6","0",",6","0",",6","7",",6","0",",6","38",",6,14,",,,,,"0.45",",,6,19,","75",",6,09,+","1105","6","266",",6","1.02",",,,6",,,"56.1",",6","65.3",",,,6","47.0",",,,6"
"USC00043714","HALF MOON BAY, CA US","37.4725","-122.4433","8.2","1943-12","5","6","0",",6","6",",6","3",",6",,,"0",",6","0",",6","0",",6","0",",6","0",",6","0",",6","35",",6,12,",,,"0.0",",,6,31,+","1.05",",,6,30,","67",",6,12,+","1522","6","417",",6","2.75",",,,6","0.0",",,,6","51.5",",6","60.2",",,,6","42.9",",,,6"
"USC00043714","HALF MOON BAY, CA US","37.4725","-122.4433","8.2","1944-01","0","6","0",",6","11",",6","10",",6",,,,,"0",",6","0",",6","0",",6","1",",6","0",",6","35",",6,26,",,,,,"0.73",",,6,02,","70",",6,20,","1956","6","434",",6","3.67",",,,6",,,"51.0",",6","58.4",",,,6","43.6",",,,6"
"USC00043714","HALF MOON BAY, CA US","37.4725","-122.4433","8.2","1944-02","0","6","0",",6","12",",6","10",",6",,,"0",",6","0",",6","0",",6","0",",6","0",",6","0",",6","33",",6,27,",,,"0.0",",,6,29,+","1.24",",,6,03,","62",",6,05,","2435","6","479",",6","5.80",",,,6","0.0",",,,6","48.5",",6","56.3",",,,6","40.7",",,,6"
"USC00043714","HALF MOON BAY, CA US","37.4725","-122.4433","8.2","1944-03","0","6","0",",6","3",",6","3",",6",,,,,"0",",6","1",",6","0",",6","2",",6","0",",6","32",",6,26,",,,,,"0.46",",,6,04,","74",",6,28,","2860","6","425",",6","0.77",",,,6",,,"51.3",",6","60.5",",,,6","42.1",",,,6"
"USC00043714","HALF MOON BAY, CA US","37.4725","-122.4433","8.2","1944-04","0","6","0",",6","8",",6","6",",6",,,,,"0",",6","0",",6","0",",6","0",",6","0",",6","35",",6,17,",,,,,"0.84",",,6,27,","62",",6,03,","3271","6","412",",6","2.76",",,,6",,,"51.3",",6","58.5",",,,6","44.1",",,,6"
"USC00043714","HALF MOON BAY, CA US","37.4725","-122.4433","8.2","1944-05","0","6","0",",6","3",",6","3",",6",,,,,"0",",6","0",",6","0",",6","0",",6","0",",6","40",",6,14,+",,,,,"0.64",",,6,17,","65",",6,25,","3617","6","346",",6","1.05",",,,6",,,"53.9",",6","61.2",",,,6","46.5",",,,6"
"USC00043714","HALF MOON BAY, CA US","37.4725","-122.4433","8.2","1944-06","0","6","0",",6","5",",6","2",",6",,,,,"0",",6","0",",6","0",",6","0",",6","0",",6","42",",6,08,",,,,,"0.15",",,6,26,","68",",6,08,","3879","6","262",",6","0.45",",,,6",,,"56.3",",6","62.8",",,,6","49.7",",,,6"
"USC00043714","HALF MOON BAY, CA US","37.4725","-122.4433","8.2","1944-07","0","6","0",",6","0",",6","0",",6",,,"0",",6","0",",6","0",",6","0",",6","0",",6","0",",6","44",",6,02,",,,"0.0",",,6,31,+","0.00",",,6,31,+","65",",6,27,+","244","6","244",",6","0.00",",,,6","0.0",",,,6","57.1",",6","62.3",",,,6","52.0",",,,6"
"USC00043714","HALF MOON BAY, CA US","37.4725","-122.4433","8.2","1944-08","0","6","0","1,6","0",",6","0",",6",,,"0",",6","0",",6","0",",6","0","1,6","0","1,6","0","1,6","42",",6,07,",,,"0.0",",,6,31,+","0.00",",,6,31,+","67","1,6,31,+","476","6","233","1,6","0.00",",,,6","0.0",",,,6","57.2","1,6","63.3","1,,,6","51.0",",,,6"
"USC00043714","HALF MOON BAY, CA US","37.4725","-122.4433","8.2","1944-09","5","6","5",",6","0",",6","0",",6",,,"0",",6","0",",6","0",",6","0",",6","2",",6","1",",6","41",",6,18,",,,"0.0",",,6,30,+","0.00",",,6,30,+","90",",6,08,","749","6","272",",6","0.00",",,,6","0.0",",,,6","56.1",",6","63.7",",,,6","48.5",",,,6"
"USC00043714","HALF MOON BAY, CA US","37.4725","-122.4433","8.2","1944-10","5","6","0","1,6","5",",6","4",",6",,,"0",",6","0","1,6","0","1,6","0",",6","5",",6","0",",6","40","1,6,02,",,,"0.0",",,6,31,+","1.74",",,6,31,","78",",6,25,","991","6","242",",6","2.99",",,,6","0.0",",,,6","56.9","1,6","64.5",",,,6","49.2","1,,,6"
"USC00043714","HALF MOON BAY, CA US","37.4725","-122.4433","8.2","1944-11","5","6","0",",6","14",",6","12",",6",,,"0",",6","0",",6","0",",6","0",",6","0",",6","0",",6","37",",6,22,",,,"0.0",",,6,30,+","1.07",",,6,29,","64",",6,22,","1350","6","359",",6","5.59",",,,6","0.0",",,,6","53.0",",6","59.9",",,,6","46.2",",,,6"
"USC00043714","HALF MOON BAY, CA US","37.4725","-122.4433","8.2","1944-12","5","6","0",",6","11",",6","8",",6",,,,,"0",",6","0",",6","0",",6","0",",6","0",",6","38",",6,30,+",,,,,"0.80",",,6,01,","65",",6,07,","1718","6","368",",6","3.68",",,,6",,,"53.1",",6","59.5",",,,6","46.7",",,,6"
"USC00043714","HALF MOON BAY, CA US","37.4725","-122.4433","8.2","1945-01","0","6","0","2,6","4",",6","1",",6",,,"0",",6","0",",6","1",",6","0","2,6","0","2,6","0","2,6","32",",6,20,",,,"0.0",",,6,31,+","0.47",",,6,31,","66","2,6,13,","2189","6","471","2,6","0.65",",,,6","0.0",",,,6","48.8","2,6","56.8","2,,,6","40.9",",,,6"
"USC00043714","HALF MOON BAY, CA US","37.4725","-122.4433","8.2","1945-02","0","6","0","1,6","8",",6","6",",6",,,"0",",6","0","1,6","0","1,6","0",",6","0",",6","0",",6","35","1,6,28,+",,,"0.0",",,6,28,+","2.38",",,6,01,","66",",6,07,","2588","6","398",",6","4.48",",,,6","0.0",",,,6","50.2","1,6","58.4",",,,6","42.1","1,,,6"
"USC00043714","HALF MOON BAY, CA US","37.4725","-122.4433","8.2","1945-03","0","6","0",",6","12",",6","9",",6",,,"0",",6","0",",6","0",",6","0",",6","2",",6","0",",6","35",",6,24,+",,,"0.0",",,6,31,+","0.94",",,6,22,","74",",6,31,+","3085","6","497",",6","3.93",",,,6","0.0",",,,6","49.0",",6","57.0",",,,6","40.9",",,,6"
"USC00043714","HALF MOON BAY, CA US","37.4725","-122.4433","8.2","1945-04","0","6","0",",6","1",",6","1",",6",,,,,"0",",6","0",",6","0",",6","2",",6","0",",6","35",",6,13,+",,,,,"0.44",",,6,08,","71",",6,29,+","3505","6","420",",6","0.44",",,,6",,,"51.0",",6","60.9",",,,6","41.1",",,,6"
"USC00043714","HALF MOON BAY, CA US","37.4725","-122.4433","8.2","1945-05","0","6","0","1,6","7",",6","2",",6",,,"0",",6","0",",6","0",",6","0","1,6","0","1,6","0","1,6","40",",6,04,",,,"0.0",",,6,31,+","0.51",",,6,12,","65","1,6,26,+","3816","6","311","1,6","0.94",",,,6","0.0",",,,6","54.6","1,6","60.6","1,,,6","48.6",",,,6"
"USC00043714","HALF MOON BAY, CA US","37.4725","-122.4433","8.2","1945-06","0","6","0",",6","2",",6","0",",6",,,"0",",6","0",",6","0",",6","0",",6","9",",6","0",",6","41",",6,18,",,,"0.0",",,6,30,+","0.04",",,6,04,","82",",6,15,","4054","6","237",",6","0.07",",,,6","0.0",",,,6","57.1",",6","65.9",",,,6","48.3",",,,6"
"USC00043714","HALF MOON BAY, CA US","37.4725","-122.4433","8.2","1945-07","0","6","0",",6","0",",6","0",",6",,,"0",",6","0",",6","0",",6","0",",6","2",",6","0",",6","44",",6,20,",,,"0.0",",,6,31,+","0.00",",,6,31,+","71",",6,28,","184","6","184",",6","0.00",",,,6","0.0",",,,6","59.1",",6","64.7",",,,6","53.4",",,,6"
"USC00043714","HALF MOON BAY, CA US","37.4725","-122.4433","8.2","1945-08","0","6","0","1,6",,,,,,,"0",",6","0",",6","0",",6","0","1,6","0","1,6","0","1,6","43",",6,26,",,,"0.0",",,6,31,+",,,"68","1,6,25,+","456","6","273","1,6",,,"0.0",",,,6","55.8","1,6","61.4","1,,,6","50.2",",,,6"
