LocationID,BRDYEAR,Watershed,first_breeding,rain_to_date,MaxD,NumberofEggMasses,yearly_rain,AirTemp,WaterTemp,water_flow,water_regime,MaxD_yearly,MaxD_proportion
LS06,2013,Laguna Salada,136,22.05,1.14,1,26.13,20.1,15,lentic,seasonal,1.0266666666666666,1.1103896103896103
LS07,2013,Laguna Salada,94,21.01,NA,1,26.13,15.1,NA,lentic,seasonal,1.1749999999999998,NA
LS08,2013,Laguna Salada,94,21.01,NA,1,26.13,17.5,NA,lentic,perennial,NA,NA
MC01,2013,Milagra Creek,94,21.01,1.12,1,26.13,9.8,NA,lentic,seasonal,1.06,1.0566037735849056
RC07,2013,Redwood Creek,93,21.01,0.72,1,26.13,11,5.5,lentic,perennial,0.72,1
RC10,2013,Redwood Creek,116,21.84,NA,1,26.13,14.9,14.2,lentic,seasonal,NA,NA
RL02,2013,Rodeo Lagoon,71,14.040000000000001,1.2,1,26.13,15.5,12.5,lentic,perennial,1.2,1
LS07,2014,Laguna Salada,164,17.66,0.08,1,22.93,15.2,19,lentic,seasonal,0.08,1
RC13,2014,Redwood Creek,122,2.25,0.96,1,22.93,18.2,15.5,lentic,perennial,0.96,1
KC01,2015,Kanoff Creek,69,9.98,0.8,1,27.67,NA,NA,lentic,seasonal,0.7548837209302326,1.059765865680838
RC07,2015,Redwood Creek,68,9.98,1.19,1,27.67,19.5,16.4,lentic,perennial,1.1032786885245902,1.0786032689450222
RC11,2015,Redwood Creek,141,24.62,NA,1,27.67,NA,NA,lentic,seasonal,NA,NA
RC14,2015,Redwood Creek,141,24.62,NA,1,27.67,NA,NA,lentic,perennial,NA,NA
RC20,2015,Redwood Creek,141,24.62,NA,1,27.67,NA,NA,both,perennial,NA,NA
RL02,2015,Rodeo Lagoon,100,22.11,NA,1,27.67,18,13,lentic,perennial,NA,NA
TV02,2015,Tennessee Valley,114,22.13,NA,1,27.67,16,12,lentic,perennial,NA,NA
KC01,2016,Kanoff Creek,90,8.78,0.64,1,29.78,14.2,5,lentic,seasonal,0.6581481481481481,0.9724254361283061
LS07,2016,Laguna Salada,103,12.08,1.42,1,29.78,15,11.5,lentic,seasonal,1.4575,0.974271012006861
LS08,2016,Laguna Salada,117,17.47,1.7,2,29.78,20.7,13,lentic,perennial,1.7,1
MC01,2016,Milagra Creek,103,12.08,0.54,1,29.78,19.3,13,lentic,seasonal,0.6576000000000001,0.8211678832116788
RC07,2016,Redwood Creek,91,8.790000000000001,1.12,1,29.78,9.2,7,lentic,perennial,1.2408771929824562,0.9025873038314718
RC10,2016,Redwood Creek,119,17.47,2,1,29.78,17.2,12,lentic,seasonal,2,1
RC11,2016,Redwood Creek,119,17.47,1.5,1,29.78,15,13,lentic,seasonal,1.5,1
RC15,2016,Redwood Creek,175,28.26,0.4,1,29.78,20.6,13,lentic,seasonal,0.4,1
RL02,2016,Rodeo Lagoon,119,17.47,0.91,1,29.78,17.4,12.3,lentic,perennial,0.91,1
TV02,2016,Tennessee Valley,103,12.08,1.32,1,29.78,NA,NA,lentic,perennial,1.315,1.0038022813688214
KC01,2017,Kanoff Creek,51,6.84,0.66,1,56.51,16.7,15,lentic,seasonal,0.7291176470588235,0.9052037111738604
KC02,2017,Kanoff Creek,108,26.37,0.73,1,56.51,13.9,9,both,seasonal,0.73,1
KC03,2017,Kanoff Creek,108,26.37,0.23,1,56.51,13.8,9,lentic,seasonal,0.23333333333333334,0.9857142857142858
LS05,2017,Laguna Salada,137,41.51,1.3,1,56.51,19.2,16,lentic,perennial,1.3,1
LS06,2017,Laguna Salada,116,32.35,1.4,1,56.51,14.8,11,lentic,seasonal,1.384,1.0115606936416186
LS07,2017,Laguna Salada,116,32.35,1.62,1,56.51,11.8,10.5,lentic,seasonal,1.62,1
LS08,2017,Laguna Salada,116,32.35,1.74,1,56.51,13.4,10,lentic,perennial,1.74,1
MC01,2017,Milagra Creek,81,15.31,0.94,1,56.51,16.6,10,lentic,seasonal,1.0771428571428572,0.8726790450928381
RC07,2017,Redwood Creek,81,15.31,1.24,1,56.51,20.8,7.5,lentic,perennial,0.46,2.6956521739130435
RC10,2017,Redwood Creek,121,32.35,NA,1,56.51,14.4,11.1,lentic,seasonal,1.4,NA
RC11,2017,Redwood Creek,97,18.91,1.92,1,56.51,9,9,lentic,seasonal,1.4175,1.3544973544973544
RC13,2017,Redwood Creek,137,41.51,0.9,1,56.51,18.3,13,lentic,perennial,0.912,0.9868421052631579
RC15,2017,Redwood Creek,137,41.51,0.55,1,56.51,17,13,lentic,seasonal,0.5437500000000001,1.011494252873563
RC20,2017,Redwood Creek,137,41.51,0.31,1,56.51,16.2,13,both,perennial,0.31,1
RC24,2017,Redwood Creek,121,32.35,NA,1,56.51,14.5,NA,lentic,seasonal,0.18,NA
RC25,2017,Redwood Creek,121,32.35,NA,2,56.51,NA,NA,lentic,seasonal,0.26125,NA
RL02,2017,Rodeo Lagoon,73,12.02,NA,1,56.51,15.1,15.4,lentic,perennial,0.4375,NA
TV02,2017,Tennessee Valley,108,26.37,1.43,1,56.51,10.6,9.9,lentic,perennial,1.43,1
WG01,2017,Wilkins Gulch,108,26.37,NA,1,56.51,12.7,12.5,lentic,seasonal,0.43,NA
KC01,2018,Kanoff Creek,103,9.7,0.77,1,24.45,17.9,14,lentic,seasonal,0.7033720930232559,1.094726401058026
LS07,2018,Laguna Salada,128,12.33,1.28,1,24.45,26.3,12,lentic,seasonal,1.28,1
LS08,2018,Laguna Salada,108,9.8,1.3,1,24.45,18.1,13,lentic,perennial,1.4025,0.9269162210338681
MC01,2018,Milagra Creek,108,9.8,0.37,1,24.45,19.2,16,lentic,seasonal,0.37224999999999997,0.9939556749496307
RC07,2018,Redwood Creek,103,9.7,0.84,1,24.45,21.8,14.3,lentic,perennial,0.995,0.8442211055276382
RC11,2018,Redwood Creek,155,13.45,1.25,1,24.45,NA,NA,lentic,seasonal,1.25,1
RC14,2018,Redwood Creek,179,19.92,1.25,1,24.45,27,12,lentic,perennial,1.25,1
RC15,2018,Redwood Creek,179,19.92,0.47,1,24.45,27.5,13,lentic,seasonal,0.47,1
RC20,2018,Redwood Creek,179,19.92,0.27,1,24.45,20.9,15,both,perennial,0.27,1
RL02,2018,Rodeo Lagoon,65,4.51,NA,1,24.45,17,NA,lentic,perennial,0.59,NA
TV02,2018,Tennessee Valley,107,9.8,1.2,1,24.45,17.8,14.2,lentic,perennial,1.1968085106382977,1.0026666666666668
WG01,2018,Wilkins Gulch,108,9.8,0.3,1,24.45,NA,NA,lentic,seasonal,0.29954545454545456,1.0015174506828528
KC01,2019,Kanoff Creek,63,8.64,0.72,1,48.7,15.2,NA,lentic,seasonal,0.7131428571428571,1.0096153846153846
KC02,2019,Kanoff Creek,121,20.03,0.6,1,48.7,17,8.8,both,seasonal,0.6,1
LS08,2019,Laguna Salada,129,23.74,1.72,1,48.7,15.3,NA,lentic,perennial,1.72,1
MC01,2019,Milagra Creek,120,19.95,0.73,23,48.7,NA,NA,lentic,seasonal,0.87,0.8390804597701149
RC07,2019,Redwood Creek,120,19.95,NA,1,48.7,11,NA,lentic,perennial,1.46,NA
RC10,2019,Redwood Creek,144,32.4,NA,1,48.7,NA,NA,lentic,seasonal,NA,NA
RC11,2019,Redwood Creek,120,19.95,NA,1,48.7,NA,NA,lentic,seasonal,NA,NA
RC13,2019,Redwood Creek,154,38.35,0.99,1,48.7,NA,NA,lentic,perennial,0.99,1
RC15,2019,Redwood Creek,144,32.4,NA,1,48.7,NA,NA,lentic,seasonal,NA,NA
RC20,2019,Redwood Creek,144,32.4,0.5,1,48.7,NA,NA,both,perennial,0.530952380952381,0.9417040358744394
RL02,2019,Rodeo Lagoon,63,8.64,NA,1,48.7,8.3,8.9,lentic,perennial,0.93,NA
TV02,2019,Tennessee Valley,120,19.95,1.24,1,48.7,14.4,11,lentic,perennial,1.2596666666666667,0.9843874040751521
WG01,2019,Wilkins Gulch,63,8.64,0.4,1,48.7,12,NA,lentic,seasonal,0.4,1
KC01,2020,Kanoff Creek,76,9.51,0.4,1,22.94,21,NA,lentic,seasonal,0.4660714285714286,0.8582375478927203
LS01,2020,Laguna Salada,115,17.48,NA,1,22.94,15.6,13.3,lentic,perennial,NA,NA
LS07,2020,Laguna Salada,115,17.48,0.7,1,22.94,NA,NA,lentic,seasonal,0.6333333333333333,1.1052631578947367
MC01,2020,Milagra Creek,98,14.49,NA,13,22.94,NA,NA,lentic,seasonal,0.2827868852459016,NA
OL01,2020,Olema Creek,114,17.48,NA,1,22.94,NA,NA,lentic,perennial,NA,NA
RC07,2020,Redwood Creek,91,14.45,1.41,1,22.94,10,7,lentic,perennial,1.1533333333333333,1.222543352601156
RC10,2020,Redwood Creek,147,17.67,1.3,1,22.94,19.7,7.8,lentic,seasonal,1.3,1
RC11,2020,Redwood Creek,121,17.67,2,1,22.94,16.2,12.8,lentic,seasonal,1.768,1.1312217194570136
RC15,2020,Redwood Creek,121,17.67,0.2,7,22.94,NA,NA,lentic,seasonal,0.2,1
RC20,2020,Redwood Creek,121,17.67,0.34,1,22.94,13.6,12.1,both,perennial,1.0184615384615385,0.3338368580060423
RC25,2020,Redwood Creek,135,17.67,NA,1,22.94,14,10.5,lentic,seasonal,NA,NA
RL02,2020,Rodeo Lagoon,77,9.540000000000001,NA,1,22.94,NA,9.4,lentic,perennial,NA,NA
TV02,2020,Tennessee Valley,80,11.15,NA,1,22.94,13.2,10.4,lentic,perennial,1.2286666666666666,NA
WG01,2020,Wilkins Gulch,77,9.540000000000001,0.4,1,22.94,NA,NA,lentic,seasonal,0.41714285714285715,0.9589041095890412
KC01,2021,Kanoff Creek,96,6.24,0.45,1,13.48,14.5,11,lentic,seasonal,0.4475,1.005586592178771
LS01,2021,Laguna Salada,155,11.01,NA,1,13.48,16.1,15.6,lentic,perennial,NA,NA
LS08,2021,Laguna Salada,131,9.88,1.2,1,13.48,13.3,10,lentic,perennial,1.2,1
MC01,2021,Milagra Creek,131,9.88,0.06,1,13.48,13.5,15,lentic,seasonal,0.07647058823529412,0.7846153846153845
RC07,2021,Redwood Creek,146,10.84,1.5,1,13.48,19.5,9.4,lentic,perennial,1.6157894736842104,0.9283387622149838
RC10,2021,Redwood Creek,132,9.88,2,1,13.48,19,9,lentic,seasonal,2,1
RC11,2021,Redwood Creek,132,9.88,1.05,1,13.48,21,14,lentic,seasonal,1.425,0.7368421052631579
RC20,2021,Redwood Creek,132,9.88,0.6,1,13.48,19,15,both,perennial,1.510909090909091,0.3971119133574007
RL02,2021,Rodeo Lagoon,99,6.35,NA,1,13.48,11,8.9,lentic,perennial,NA,NA
TV02,2021,Tennessee Valley,103,6.36,1.16,1,13.48,NA,NA,lentic,perennial,1.2029113924050632,0.9643270546143323
WG01,2021,Wilkins Gulch,128,9.88,0.35,1,13.48,14,13,lentic,seasonal,0.3722222222222222,0.9402985074626866
KC01,2022,Kanoff Creek,38,16.92,0.35,1,35.68,18.6,9,lentic,seasonal,0.46071428571428574,0.7596899224806201
LS01,2022,Laguna Salada,154,31.96,NA,1,35.68,10,11.1,lentic,perennial,NA,NA
LS06,2022,Laguna Salada,91,30.25,1.2,3,35.68,12,11.5,lentic,seasonal,1.15,1.0434782608695652
LS07,2022,Laguna Salada,91,30.25,NA,1,35.68,12.4,10,lentic,seasonal,1.221111111111111,NA
LS08,2022,Laguna Salada,103,31.78,1,1,35.68,20,13.5,lentic,perennial,1.1433333333333333,0.8746355685131195
MC01,2022,Milagra Creek,103,31.78,1.5,1,35.68,17,14,lentic,seasonal,1.5,1
RC07,2022,Redwood Creek,101,31.78,1.5,1,35.68,15.6,8,lentic,perennial,1.1838461538461538,1.267056530214425
RC11,2022,Redwood Creek,117,31.78,1.3,1,35.68,15.7,9.8,lentic,seasonal,1.2750000000000001,1.0196078431372548
RC13,2022,Redwood Creek,117,31.78,1,1,35.68,15.8,8,lentic,perennial,1,1
RC15,2022,Redwood Creek,117,31.78,0.3,1,35.68,18.2,10.6,lentic,seasonal,0.29,1.0344827586206897
RC20,2022,Redwood Creek,117,31.78,0.9,1,35.68,17.8,10.3,both,perennial,0.8060869565217391,1.116504854368932
RC25,2022,Redwood Creek,117,31.78,0.25,1,35.68,17.2,14.8,lentic,seasonal,0.24166666666666667,1.0344827586206897
RL02,2022,Rodeo Lagoon,34,15.68,NA,1,35.68,NA,NA,lentic,perennial,NA,NA
TV02,2022,Tennessee Valley,54,18.55,1.23,1,35.68,21,10,lentic,perennial,1.263095238095238,0.9737983034872761
TV06,2022,Tennessee Valley,173,32.05,NA,1,35.68,NA,NA,lentic,perennial,NA,NA
WG01,2022,Wilkins Gulch,43,18.47,NA,1,35.68,NA,NA,lentic,seasonal,0.4672972972972973,NA
KC01,2023,Kanoff Creek,94,18.830000000000002,0.5,1,52.63,13.1,14,lentic,seasonal,0.490625,1.019108280254777
LS01,2023,Laguna Salada,111,31.63,NA,1,52.63,8,7.2,lentic,perennial,NA,NA
LS06,2023,Laguna Salada,114,31.63,1.4,2,52.63,15.5,9.9,lentic,seasonal,1.4,1
LS07,2023,Laguna Salada,114,31.63,1.6,1,52.63,14.7,10.1,lentic,seasonal,1.5818181818181818,1.0114942528735633
LS08,2023,Laguna Salada,114,31.63,1.8,1,52.63,16.6,10.3,lentic,perennial,1.82,0.989010989010989
LS11,2023,Laguna Salada,128,33.33,NA,1,52.63,11.1,8.9,lentic,perennial,NA,NA
RC07,2023,Redwood Creek,115,31.63,1.35,1,52.63,16,5.6,lentic,perennial,1.3795454545454546,0.9785831960461285
RC10,2023,Redwood Creek,129,33.33,1.5,1,52.63,14.1,7,lentic,seasonal,1.5,1
RC11,2023,Redwood Creek,115,31.63,1.5,1,52.63,18,9.6,lentic,seasonal,1.25,1.2
RC13,2023,Redwood Creek,129,33.33,1,1,52.63,NA,8.8,lentic,perennial,1.0666666666666667,0.9375
RC15,2023,Redwood Creek,129,33.33,0.2,1,52.63,13,7,lentic,seasonal,0.3333333333333333,0.6000000000000001
RC20,2023,Redwood Creek,153,37.64,0.5,2,52.63,16.8,14.2,both,perennial,0.5047619047619047,0.9905660377358491
RC24,2023,Redwood Creek,129,33.33,0.3,1,52.63,14.1,11.8,lentic,seasonal,0.3,1
RC25,2023,Redwood Creek,115,31.63,0.3,2,52.63,20.5,8.9,lentic,seasonal,0.3,1
RL02,2023,Rodeo Lagoon,86,7.04,0.79,1,52.63,12.2,9.3,lentic,perennial,1.4767213114754099,0.5349689165186501
TV02,2023,Tennessee Valley,81,6.15,1.06,1,52.63,10,5.4,lentic,perennial,1.7825,0.5946704067321178
WG01,2023,Wilkins Gulch,88,10.75,0.37,1,52.63,13,11,lentic,seasonal,0.4165625,0.8882220555138785
WU02,2023,West Union,132,33.33,0.75,1,52.63,NA,NA,lentic,seasonal,1.2149999999999999,0.617283950617284
