LocationID,Watershed,EventGUID,ParkCode,ProjectCode,Date,BTime,TTime,Obsv1,Obsv2,Obsv3,USGS_ID,Survey_MONTH,SEASON,BRDYEAR,Weather,Wind,AirTemp,WaterTemp,WaterVis,SvyLength,SvyWidth,AvgD,MaxD,HabType,PercentSubVeg,PercentEmergVeg,PercentOpenWater,DominantSub,DominantEmerg,OtherVeg,tblEvents_Comments,GageHeight,DateEntered,Validation,EventID,SurveyMethodID,WaterSalinity,SalinityMethodID,WaterFlowID,EggCountGUID,SpeciesID,MassID,WaterDepth,EggDepth,Distance,Stranded,AttachType,EggMassStageID,UTMNY_EggObs,UTMEX_EggObs,HorizontalError_m,Lat_EggObs,Long_EggObs,AS_UTMSOURCE,AS_UTMZONE,GPS_ID,tblEggCount_CRLF_Comments,OldMass,NumberofEggMasses
EC02,Easkoot Creek,{21B4C595-F424-49B2-9876-780699502F10},GOGA,CRLF,1/29/2001,13:30,5,MO,,,,1,WINTER,2001,Clear,,17,15,,15,1.5,0.2,0.3,Ditch,20,90,,,,,,,,FALSE,GOGA-CRLF-1/29/2001-1:30:00 PM-EC02,,,,,{60078FD7-4D78-4D44-8BF0-BE758D56CE76},RADR,,,,,FALSE,,,,,,,,,,0,"records batch created in 2023 to bring old data (up to 2019, which only recorded presence of CRLF egg masses) inline with data collected in S123 ( presence and absence noted for every survey)",FALSE,0
EC02,Easkoot Creek,{C528B074-1EF2-416C-A1F0-D1BDDE93253B},GOGA,CRLF,12/28/2000,13:40,15,MO,,,,12,WINTER,2001,Clear,,17,15,,15,15,0.2,0.3,Ditch,20,70,10,,,blackberry,Substrate mostly silt.,,,FALSE,GOGA-CRLF-12/28/2000-1:40:00 PM-EC02,,,,,{F8CF7FD1-31E4-4469-ACB5-6FD28B2C0739},RADR,,,,,FALSE,,,,,,,,,,0,"records batch created in 2023 to bring old data (up to 2019, which only recorded presence of CRLF egg masses) inline with data collected in S123 ( presence and absence noted for every survey)",FALSE,0
KC01,Kanoff Creek,{0574CB4C-8CCB-47E3-AB4F-B1307661E9D1},GOGA,CRLF,12/18/2020,12:26,0,Ewr,,,,,,2021,Clear,2,,,0.25,24,2,0.25,0.5,Pond,0,25,75,,Juncus,,,,,TRUE,,2,,,,{6E15072F-0C92-48F6-8C36-16CF67C60B4C},RADR,,,,,FALSE,,,4155674.288,543070.7689,6,37.54706263,-122.5124147,,,0,,FALSE,0
KC01,Kanoff Creek,{09DF8CD3-EAE0-47CA-9213-B27C2DAD2990},GOGA,CRLF,12/10/2012,12:50,30,SB,,,,12,Winter,2013,Clear,1,18,,0.32,38,33,0.45,0.65,Pond,10,60,30,Sedge (Scirpus),Tule,,Walked perimeter in both directions and went inside to look at Tule/Cattail islands. Visibility worse in middle of pond.,2,,TRUE,,,,,,{098C78AF-F6A7-4033-9367-6041115E6E03},RADR,8,53,52,,FALSE,Tule,,,,,,,,,,,FALSE,1
KC01,Kanoff Creek,{09DF8CD3-EAE0-47CA-9213-B27C2DAD2990},GOGA,CRLF,12/10/2012,12:50,30,SB,,,,12,Winter,2013,Clear,1,18,,0.32,38,33,0.45,0.65,Pond,10,60,30,Sedge (Scirpus),Tule,,Walked perimeter in both directions and went inside to look at Tule/Cattail islands. Visibility worse in middle of pond.,2,,TRUE,,,,,,{460B3B6A-3B09-46DE-90AC-23B26A7122FF},RADR,5,19,14,,FALSE,Sedge,,,,,,,,,,,FALSE,1
KC01,Kanoff Creek,{09DF8CD3-EAE0-47CA-9213-B27C2DAD2990},GOGA,CRLF,12/10/2012,12:50,30,SB,,,,12,Winter,2013,Clear,1,18,,0.32,38,33,0.45,0.65,Pond,10,60,30,Sedge (Scirpus),Tule,,Walked perimeter in both directions and went inside to look at Tule/Cattail islands. Visibility worse in middle of pond.,2,,TRUE,,,,,,{5883224F-D526-403A-A232-95849AF92164},RADR,2,44,40,,FALSE,Tule,,,,,,,,,,,FALSE,1
KC01,Kanoff Creek,{09DF8CD3-EAE0-47CA-9213-B27C2DAD2990},GOGA,CRLF,12/10/2012,12:50,30,SB,,,,12,Winter,2013,Clear,1,18,,0.32,38,33,0.45,0.65,Pond,10,60,30,Sedge (Scirpus),Tule,,Walked perimeter in both directions and went inside to look at Tule/Cattail islands. Visibility worse in middle of pond.,2,,TRUE,,,,,,{6F9357A7-12EC-4970-AD5A-9CFF48995633},RADR,4,19,16,,FALSE,Sedge,,,,,,,,,,,FALSE,1
KC01,Kanoff Creek,{09DF8CD3-EAE0-47CA-9213-B27C2DAD2990},GOGA,CRLF,12/10/2012,12:50,30,SB,,,,12,Winter,2013,Clear,1,18,,0.32,38,33,0.45,0.65,Pond,10,60,30,Sedge (Scirpus),Tule,,Walked perimeter in both directions and went inside to look at Tule/Cattail islands. Visibility worse in middle of pond.,2,,TRUE,,,,,,{7F503E38-54AB-4076-B310-79C993D8F3E7},RADR,3,16,11,,FALSE,Sedge,,,,,,,,,,,FALSE,1
KC01,Kanoff Creek,{09DF8CD3-EAE0-47CA-9213-B27C2DAD2990},GOGA,CRLF,12/10/2012,12:50,30,SB,,,,12,Winter,2013,Clear,1,18,,0.32,38,33,0.45,0.65,Pond,10,60,30,Sedge (Scirpus),Tule,,Walked perimeter in both directions and went inside to look at Tule/Cattail islands. Visibility worse in middle of pond.,2,,TRUE,,,,,,{9786CB48-A088-499A-8480-AEC9F71C3382},RADR,1,44,39,,FALSE,Tule,,,,,,,,,,,FALSE,1
KC01,Kanoff Creek,{09DF8CD3-EAE0-47CA-9213-B27C2DAD2990},GOGA,CRLF,12/10/2012,12:50,30,SB,,,,12,Winter,2013,Clear,1,18,,0.32,38,33,0.45,0.65,Pond,10,60,30,Sedge (Scirpus),Tule,,Walked perimeter in both directions and went inside to look at Tule/Cattail islands. Visibility worse in middle of pond.,2,,TRUE,,,,,,{CE314FA1-185A-43E0-B77F-BD8D01810469},RADR,7,48,38,,FALSE,,,,,,,,,,,,FALSE,1
KC01,Kanoff Creek,{09DF8CD3-EAE0-47CA-9213-B27C2DAD2990},GOGA,CRLF,12/10/2012,12:50,30,SB,,,,12,Winter,2013,Clear,1,18,,0.32,38,33,0.45,0.65,Pond,10,60,30,Sedge (Scirpus),Tule,,Walked perimeter in both directions and went inside to look at Tule/Cattail islands. Visibility worse in middle of pond.,2,,TRUE,,,,,,{D6AA6413-EDB4-44DA-B186-6E549CCA6EFA},RADR,6,22,18,,FALSE,Sedge,,,,,,,,,,,FALSE,1
KC01,Kanoff Creek,{0A011A2C-0B91-42CB-A822-AFA6169D287F},GOGA,CRLF,2/2/2022,9:36,43,JeF,,,,,,2022,Clear,3,15.1,10,0.25,76,3,0.25,0.35,Pond,0,40,60,0,"Typha,Schoenoplectus",Alisma,There is a fair amount of algae growing along the surface of the pond making observations of new egg masses difficult.,2.42,,TRUE,,2,,,,{101C4AB0-9359-4D63-BAE5-BF2AB5A9ABCA},RADR,22,,,,FALSE,,7,4155651.131,543077.4118,4,37.5468536,-122.5123409,,,0,,TRUE,1
KC01,Kanoff Creek,{0A011A2C-0B91-42CB-A822-AFA6169D287F},GOGA,CRLF,2/2/2022,9:36,43,JeF,,,,,,2022,Clear,3,15.1,10,0.25,76,3,0.25,0.35,Pond,0,40,60,0,"Typha,Schoenoplectus",Alisma,There is a fair amount of algae growing along the surface of the pond making observations of new egg masses difficult.,2.42,,TRUE,,2,,,,{3EAA8CF7-2DC4-4312-B5AB-F389BA5ECBA6},RADR,24,,,,FALSE,,7,4155671.741,543068.1266,4,37.5470398,-122.5124448,,,0,,TRUE,1
KC01,Kanoff Creek,{0A011A2C-0B91-42CB-A822-AFA6169D287F},GOGA,CRLF,2/2/2022,9:36,43,JeF,,,,,,2022,Clear,3,15.1,10,0.25,76,3,0.25,0.35,Pond,0,40,60,0,"Typha,Schoenoplectus",Alisma,There is a fair amount of algae growing along the surface of the pond making observations of new egg masses difficult.,2.42,,TRUE,,2,,,,{4089F2F3-91D8-4632-804D-B1C70F5B4080},RADR,26,,,,FALSE,,9,4155654.632,543046.5372,4,37.5468866,-122.5126902,,,0,,TRUE,1
KC01,Kanoff Creek,{0A011A2C-0B91-42CB-A822-AFA6169D287F},GOGA,CRLF,2/2/2022,9:36,43,JeF,,,,,,2022,Clear,3,15.1,10,0.25,76,3,0.25,0.35,Pond,0,40,60,0,"Typha,Schoenoplectus",Alisma,There is a fair amount of algae growing along the surface of the pond making observations of new egg masses difficult.,2.42,,TRUE,,2,,,,{C5FDCD48-8B92-4EFD-91FD-B565674850DB},RADR,23,,,,FALSE,,7,,,,,,,,0,,TRUE,1
KC01,Kanoff Creek,{0A011A2C-0B91-42CB-A822-AFA6169D287F},GOGA,CRLF,2/2/2022,9:36,43,JeF,,,,,,2022,Clear,3,15.1,10,0.25,76,3,0.25,0.35,Pond,0,40,60,0,"Typha,Schoenoplectus",Alisma,There is a fair amount of algae growing along the surface of the pond making observations of new egg masses difficult.,2.42,,TRUE,,2,,,,{F22747FD-5DD3-445F-AA68-6634F2829772},RADR,25,,,,FALSE,,6,4155658.619,543047.3645,4,37.5469225,-122.5126806,,,0,,TRUE,1
KC01,Kanoff Creek,{0A011A2C-0B91-42CB-A822-AFA6169D287F},GOGA,CRLF,2/2/2022,9:36,43,JeF,,,,,,2022,Clear,3,15.1,10,0.25,76,3,0.25,0.35,Pond,0,40,60,0,"Typha,Schoenoplectus",Alisma,There is a fair amount of algae growing along the surface of the pond making observations of new egg masses difficult.,2.42,,TRUE,,2,,,,{F818E35C-E155-453B-A744-101B34A0157C},RADR,27,,,,FALSE,,9,4155659.02,543047.5568,4,37.5469261,-122.5126784,,,0,,TRUE,1
KC01,Kanoff Creek,{0A011A2C-0B91-42CB-A822-AFA6169D287F},GOGA,CRLF,2/2/2022,9:36,43,JeF,,,,,,2022,Clear,3,15.1,10,0.25,76,3,0.25,0.35,Pond,0,40,60,0,"Typha,Schoenoplectus",Alisma,There is a fair amount of algae growing along the surface of the pond making observations of new egg masses difficult.,2.42,,TRUE,,2,,,,{FD55CFDA-312F-4D0D-AFE9-42A820538E8D},RADR,21,,,,FALSE,,7,4155672.5,543062.5839,6,37.5470469,-122.5125075,,,0,,TRUE,1
KC01,Kanoff Creek,{0F046E11-0879-4CEA-9836-001C08AD4AAA},GOGA,CRLF,12/8/2022,9:47,51,CLP,IB,,,,,2023,Overcast,1,12,9,0.22,40,3,0.27,0.39,Pond,0,25,75,0,Cyperaceae,,Overcast made it to hard to see into water,2.3,,TRUE,,2,,,1,{86963735-261C-4BD0-8D1A-3905C63FE48F},RADR,,,,,FALSE,,,,,,,,,,0,,FALSE,0
KC01,Kanoff Creek,{1106B8CA-BF02-414B-91AE-93BBD66EF603},GOGA,CRLF,1/5/2021,11:10,55,Ewr,JeF,,,,,2021,Clear,1,14.5,11,0.15,80,5,0.2,0.45,Pond,0,20,80,,Cyperaceae,Alisma,,2.475,,TRUE,,2,,,,{2DA6E214-3E25-47ED-9395-C6271D1EA92B},RADR,1,,,,FALSE,,3,4155659.029,543076.9249,,37.54692481,-122.5123459,,,0,,FALSE,1
KC01,Kanoff Creek,{1106B8CA-BF02-414B-91AE-93BBD66EF603},GOGA,CRLF,1/5/2021,11:10,55,Ewr,JeF,,,,,2021,Clear,1,14.5,11,0.15,80,5,0.2,0.45,Pond,0,20,80,,Cyperaceae,Alisma,,2.475,,TRUE,,2,,,,{8413EBE5-26EB-4C22-8304-AED7483DFC4E},RADR,4,,,,FALSE,,3,4155669.337,543069.6448,5,37.54701806,-122.5124278,,,0,,FALSE,1
KC01,Kanoff Creek,{1106B8CA-BF02-414B-91AE-93BBD66EF603},GOGA,CRLF,1/5/2021,11:10,55,Ewr,JeF,,,,,2021,Clear,1,14.5,11,0.15,80,5,0.2,0.45,Pond,0,20,80,,Cyperaceae,Alisma,,2.475,,TRUE,,2,,,,{C6473945-8AB6-4571-B06A-C956A2484E88},RADR,2,,,,FALSE,,3,4155662.248,543075.3163,5,37.5469539,-122.512364,,,0,,FALSE,1
KC01,Kanoff Creek,{1106B8CA-BF02-414B-91AE-93BBD66EF603},GOGA,CRLF,1/5/2021,11:10,55,Ewr,JeF,,,,,2021,Clear,1,14.5,11,0.15,80,5,0.2,0.45,Pond,0,20,80,,Cyperaceae,Alisma,,2.475,,TRUE,,2,,,,{F2579AC8-394A-4EF0-9CE9-D1DF4704F7EA},RADR,3,,,,FALSE,,3,4155669.681,543068.636,5,37.54702121,-122.5124392,,,0,,FALSE,1
KC01,Kanoff Creek,{1AB468B2-BE06-4733-8241-145EB10833D0},GOGA,CRLF,11/1/2021,10:00,30,CLP,MF,,,,,2022,Overcast,1,,,,80,10,,,Pond,0,60,40,0,"Cyperaceae,Schoenoplectus,Typha",,"This survey did not collect all data (air temp, water temp, water depth, etc)",,,TRUE,,2,0,,,{BF7DCDAC-14FA-4F6D-83F5-E10EF52F175F},RADR,,,,,FALSE,,,,,,,,,,0,,FALSE,0
KC01,Kanoff Creek,{1ACD5A5D-E073-4CDD-9AD3-98B41A6EA37F},GOGA,CRLF,11/8/2021,9:43,47,CLP,JeF,,,,,2022,Clear,1,18.6,9,0.3,77,4,0.25,0.35,Pond,0,40,60,0,"Typha,Schoenoplectus",,,2.5,,TRUE,,2,,,1,{2C3B25E3-A72E-45B2-831A-BB017E20F2FB},RADR,1,,,,FALSE,,3,4155665.136,543073.8851,4,37.54698,-122.51238,,,0,,FALSE,1
KC01,Kanoff Creek,{1ACD5A5D-E073-4CDD-9AD3-98B41A6EA37F},GOGA,CRLF,11/8/2021,9:43,47,CLP,JeF,,,,,2022,Clear,1,18.6,9,0.3,77,4,0.25,0.35,Pond,0,40,60,0,"Typha,Schoenoplectus",,,2.5,,TRUE,,2,,,1,{44900715-DE90-4FD7-A16A-101D9F175D05},RADR,2,,,,FALSE,,3,4155666.132,543073.3499,4,37.546989,-122.512386,,,0,Very close to egg mass 3.,FALSE,1
KC01,Kanoff Creek,{1ACD5A5D-E073-4CDD-9AD3-98B41A6EA37F},GOGA,CRLF,11/8/2021,9:43,47,CLP,JeF,,,,,2022,Clear,1,18.6,9,0.3,77,4,0.25,0.35,Pond,0,40,60,0,"Typha,Schoenoplectus",,,2.5,,TRUE,,2,,,1,{46A3454C-145F-4D3D-A54C-F028221E94AF},RADR,4,,,,FALSE,,1,4155662.683,543071.4244,4,37.546958,-122.512408,,,0,Mass is near veg on bottom of the pond floor ~,FALSE,1
KC01,Kanoff Creek,{1ACD5A5D-E073-4CDD-9AD3-98B41A6EA37F},GOGA,CRLF,11/8/2021,9:43,47,CLP,JeF,,,,,2022,Clear,1,18.6,9,0.3,77,4,0.25,0.35,Pond,0,40,60,0,"Typha,Schoenoplectus",,,2.5,,TRUE,,2,,,1,{5FFC4CB6-C585-4FBF-A5C1-0609D592D639},RADR,3,,,,FALSE,,3,4155666.131,543073.1733,4,37.546989,-122.512388,,,0,,FALSE,1
KC01,Kanoff Creek,{1E1AED49-1D04-458D-A9C4-E69A4A633AA2},GOGA,CRLF,1/21/2015,10:50,35,SB,AF,,,1,Winter,2015,Clear,1,21.3,,0.27,35,30,0.25,0.55,Pond,1,80,19,,"tule, scirpus americanus, juncus, typha",,"1 adult CRLF. About 100 tree frog egg masses, no adults. 20 unidentified tadpoles. 3 passes.",2.085,,TRUE,,,,,,{08B90E3F-6B42-477C-A424-B4B290910D08},RADR,3,46,44,,FALSE,Other,,,,,,,,,,,FALSE,1
KC01,Kanoff Creek,{1E1AED49-1D04-458D-A9C4-E69A4A633AA2},GOGA,CRLF,1/21/2015,10:50,35,SB,AF,,,1,Winter,2015,Clear,1,21.3,,0.27,35,30,0.25,0.55,Pond,1,80,19,,"tule, scirpus americanus, juncus, typha",,"1 adult CRLF. About 100 tree frog egg masses, no adults. 20 unidentified tadpoles. 3 passes.",2.085,,TRUE,,,,,,{94C4AA77-0974-4459-ADD4-52F7CD6263BA},RADR,2,40,29,,FALSE,Other,,,,,,,,,,,FALSE,1
KC01,Kanoff Creek,{1E1AED49-1D04-458D-A9C4-E69A4A633AA2},GOGA,CRLF,1/21/2015,10:50,35,SB,AF,,,1,Winter,2015,Clear,1,21.3,,0.27,35,30,0.25,0.55,Pond,1,80,19,,"tule, scirpus americanus, juncus, typha",,"1 adult CRLF. About 100 tree frog egg masses, no adults. 20 unidentified tadpoles. 3 passes.",2.085,,TRUE,,,,,,{E127B78A-C0BB-4939-936A-DA21C89E87AC},RADR,1,21,20,,FALSE,Cattail,,,,,,,,,,,FALSE,1
KC01,Kanoff Creek,{1FE35107-7B0D-44F9-A3A5-095559C015D4},GOGA,CRLF,12/28/2021,9:56,73,CLP,MF,,,,,2022,Overcast,0,10,9,0.2,85,13,0.35,0.5,Pond,0,20,80,0,"Cyperaceae,Typha,Schoenoplectus",,Algae on egg masses made gosner stage identification difficult. Overcast also made it hard to determine gosner stage,2.7,,TRUE,,2,0,,1,{0BC32F7A-3B10-44A7-B06F-320B4D5A9D8E},RADR,12,,,,FALSE,,3,4155649.561,543072.0843,4,37.5468397,-122.5124013,,,0,Algae on egg mass,FALSE,1
KC01,Kanoff Creek,{1FE35107-7B0D-44F9-A3A5-095559C015D4},GOGA,CRLF,12/28/2021,9:56,73,CLP,MF,,,,,2022,Overcast,0,10,9,0.2,85,13,0.35,0.5,Pond,0,20,80,0,"Cyperaceae,Typha,Schoenoplectus",,Algae on egg masses made gosner stage identification difficult. Overcast also made it hard to determine gosner stage,2.7,,TRUE,,2,0,,1,{4C8E306F-EF41-45DB-B721-711CF2AD4B86},RADR,10,,,,FALSE,,1,4155646.522,543068.0719,4,37.5468125,-122.5124469,,,0,"Algae, sunken slightly",FALSE,1
KC01,Kanoff Creek,{1FE35107-7B0D-44F9-A3A5-095559C015D4},GOGA,CRLF,12/28/2021,9:56,73,CLP,MF,,,,,2022,Overcast,0,10,9,0.2,85,13,0.35,0.5,Pond,0,20,80,0,"Cyperaceae,Typha,Schoenoplectus",,Algae on egg masses made gosner stage identification difficult. Overcast also made it hard to determine gosner stage,2.7,,TRUE,,2,0,,1,{5640B037-17F9-4FF9-948A-0982E6F3EA18},RADR,6,,,,FALSE,,6,4155652.949,543068.4891,4,37.5468704,-122.5124418,,,0,Covered in algae,TRUE,1
KC01,Kanoff Creek,{1FE35107-7B0D-44F9-A3A5-095559C015D4},GOGA,CRLF,12/28/2021,9:56,73,CLP,MF,,,,,2022,Overcast,0,10,9,0.2,85,13,0.35,0.5,Pond,0,20,80,0,"Cyperaceae,Typha,Schoenoplectus",,Algae on egg masses made gosner stage identification difficult. Overcast also made it hard to determine gosner stage,2.7,,TRUE,,2,0,,1,{5FE035B8-5C41-4100-A161-6615408AEA16},RADR,19,,,,FALSE,,3,4155669.021,543057.0985,5,37.5470158,-122.5125698,,,0,,FALSE,1
KC01,Kanoff Creek,{1FE35107-7B0D-44F9-A3A5-095559C015D4},GOGA,CRLF,12/28/2021,9:56,73,CLP,MF,,,,,2022,Overcast,0,10,9,0.2,85,13,0.35,0.5,Pond,0,20,80,0,"Cyperaceae,Typha,Schoenoplectus",,Algae on egg masses made gosner stage identification difficult. Overcast also made it hard to determine gosner stage,2.7,,TRUE,,2,0,,1,{65D1D17C-C3CC-401A-8779-6B8601701645},RADR,8,,,,FALSE,,3,4155647.432,543074.4981,4,37.5468204,-122.5123741,,,0,Algae,FALSE,1
KC01,Kanoff Creek,{1FE35107-7B0D-44F9-A3A5-095559C015D4},GOGA,CRLF,12/28/2021,9:56,73,CLP,MF,,,,,2022,Overcast,0,10,9,0.2,85,13,0.35,0.5,Pond,0,20,80,0,"Cyperaceae,Typha,Schoenoplectus",,Algae on egg masses made gosner stage identification difficult. Overcast also made it hard to determine gosner stage,2.7,,TRUE,,2,0,,1,{672042C8-8270-4410-A6B2-D176EAFF78AE},RADR,11,,,,FALSE,,4,4155648.693,543071.6206,4,37.5468319,-122.5124066,,,0,Algae on egg mass,FALSE,1
KC01,Kanoff Creek,{1FE35107-7B0D-44F9-A3A5-095559C015D4},GOGA,CRLF,12/28/2021,9:56,73,CLP,MF,,,,,2022,Overcast,0,10,9,0.2,85,13,0.35,0.5,Pond,0,20,80,0,"Cyperaceae,Typha,Schoenoplectus",,Algae on egg masses made gosner stage identification difficult. Overcast also made it hard to determine gosner stage,2.7,,TRUE,,2,0,,1,{8EB48F8D-AAFB-4F0F-85EA-4F929B2314E9},RADR,13,,,,FALSE,,3,4155649.292,543071.6087,4,37.5468373,-122.5124067,,,0,Covered in algae,FALSE,1
KC01,Kanoff Creek,{1FE35107-7B0D-44F9-A3A5-095559C015D4},GOGA,CRLF,12/28/2021,9:56,73,CLP,MF,,,,,2022,Overcast,0,10,9,0.2,85,13,0.35,0.5,Pond,0,20,80,0,"Cyperaceae,Typha,Schoenoplectus",,Algae on egg masses made gosner stage identification difficult. Overcast also made it hard to determine gosner stage,2.7,,TRUE,,2,0,,1,{8F9453F3-0238-4E8B-A164-8AC2749C9025},RADR,20,,,,FALSE,,3,4155670.681,543056.18,4,37.5470308,-122.5125801,,,0,,FALSE,1
KC01,Kanoff Creek,{1FE35107-7B0D-44F9-A3A5-095559C015D4},GOGA,CRLF,12/28/2021,9:56,73,CLP,MF,,,,,2022,Overcast,0,10,9,0.2,85,13,0.35,0.5,Pond,0,20,80,0,"Cyperaceae,Typha,Schoenoplectus",,Algae on egg masses made gosner stage identification difficult. Overcast also made it hard to determine gosner stage,2.7,,TRUE,,2,0,,1,{970939E7-E263-4A04-9679-C7F90FBF2C99},RADR,9,,,,FALSE,,3,4155644.509,543071.3773,4,37.5467942,-122.5124096,,,0,Algae,FALSE,1
